"trap_id","Aedes_albopictus","Aedes_j. japonicus","Aedes_sp.","Aedes_triseriatus","Culex_pipiens","Culex_restuans","Culex_sp.","Aedes_aegypti","Culex_pipiens-restuans (Mixed)","Anopheles_punctipennis","Psorophora_ciliata","Psorophora_columbiae"
"1A",34,12,2,2,274,2,2,0,0,0,0,0
"1B",414,0,105,0,1331,8,0,58,28,0,0,0
"1C",10,0,8,0,344,0,0,0,0,0,0,0
"2A",99,0,38,0,662,0,0,12,0,0,0,0
"2B",119,0,173,0,1380,15,34,42,0,0,0,0
"2C",101,0,78,0,619,0,0,6,0,0,0,0
"2D",17,0,2,0,2188,41,5,8,0,0,0,0
"2E",6,0,9,0,66,2,16,0,0,0,0,0
"3A",51,156,44,0,902,20,5,0,0,2,0,0
"3B",59,0,9,4,2327,20,0,0,0,0,0,0
"3C",14,8,12,0,685,4,0,0,0,0,0,0
"3D",18,174,4,0,584,12,6,2,0,0,0,0
"3E",2,27,4,0,317,0,0,0,0,0,0,0
"4A",126,11,81,17,439,0,5,14,0,0,0,0
"4B",24,10,7,0,1114,4,0,0,0,0,0,0
"4C",38,0,13,0,381,0,0,0,0,0,0,0
"4D",6,16,5,0,368,0,0,6,0,0,0,0
"5A",982,29,271,17,1712,9,2,52,0,0,0,0
"5B",192,2,73,0,807,3,0,11,0,0,0,0
"5C",41,17,6,0,339,0,0,0,0,0,0,0
"6A",84,28,28,0,892,2,0,160,0,0,0,0
"6B",58,0,24,0,984,0,0,165,0,0,0,0
"6C",3,0,7,0,864,0,0,47,0,0,0,0
"7A",274,71,46,24,423,9,32,10,0,3,12,176
"7B",319,5,65,0,644,2,18,19,0,0,0,0
"7C",23,2,11,0,153,0,0,2,0,0,0,0
"8A",439,19,154,0,1014,5,0,166,0,0,0,0
"8B",72,2,37,0,384,2,0,16,0,0,0,0
"8C",12,0,17,0,312,0,0,12,0,0,0,0
